Threshold	FalseNegative	FalsePositive
-2	0.00395276	0.881459
-1.9	0.00403382	0.873228
-1.8	0.00416849	0.866598
-1.7	0.00431583	0.859083
-1.6	0.00446456	0.847479
-1.5	0.00462856	0.832655
-1.4	0.00483298	0.817374
-1.3	0.00513746	0.798125
-1.2	0.00557874	0.775297
-1.1	0.00617592	0.748337
-1	0.00693698	0.720735
-0.9	0.00802237	0.693916
-0.8	0.0094161	0.667574
-0.7	0.0113713	0.639734
-0.6	0.0138031	0.610327
-0.5	0.0169509	0.586147
-0.4	0.0214171	0.565045
-0.3	0.0271986	0.551477
-0.2	0.0333878	0.542445
-0.0999997	0.040139	0.536887
3.11434e-07	0.0470983	-nan
