Threshold	FalseNegative	FalsePositive
-2	0.00871071	0.59049
-1.9	0.00934376	0.567377
-1.8	0.0100835	0.56068
-1.7	0.011025	0.533467
-1.6	0.0115969	0.512208
-1.5	0.0129193	0.499051
-1.4	0.0137196	0.487798
-1.3	0.0148967	0.465658
-1.2	0.016407	0.443764
-1.1	0.0178728	0.431362
-1	0.0193205	0.416945
-0.9	0.0212223	0.392376
-0.8	0.0240795	0.380973
-0.7	0.0266543	0.371961
-0.6	0.0289756	0.348586
-0.5	0.0321841	0.340472
-0.4	0.035505	0.339211
-0.3	0.0395976	0.336578
-0.2	0.0436468	0.331153
-0.0999997	0.0484387	0.340162
3.11434e-07	0.053637	-nan
