Threshold	FalseNegative	FalsePositive
-1	0.0136159	0.456626
-0.95	0.0141061	0.452634
-0.9	0.0152954	0.435327
-0.85	0.0165557	0.427406
-0.8	0.0178497	0.420509
-0.75	0.0185897	0.413148
-0.7	0.0200297	0.404909
-0.65	0.0213551	0.393178
-0.6	0.0221942	0.386195
-0.55	0.0235666	0.380065
-0.5	0.0252072	0.368934
-0.45	0.0270189	0.365586
-0.4	0.0283596	0.357727
-0.35	0.0302087	0.341151
-0.3	0.0325044	0.342189
-0.25	0.0337388	0.337149
-0.2	0.0366882	0.331603
-0.15	0.0392989	0.326068
-0.0999998	0.0417272	0.320213
-0.0499998	0.0449058	0.298807
1.55717e-07	0.0470983	-nan
