Threshold	FalseNegative	FalsePositive
-1	0.00979453	0.686892
-0.95	0.0103734	0.670842
-0.9	0.0110071	0.652852
-0.85	0.0117009	0.630979
-0.8	0.0125883	0.611304
-0.75	0.0136876	0.592862
-0.7	0.0149828	0.5695
-0.65	0.016357	0.554161
-0.6	0.0178718	0.536494
-0.55	0.0196663	0.52079
-0.5	0.0216003	0.504358
-0.45	0.0239676	0.490221
-0.4	0.0267038	0.477095
-0.35	0.0297094	0.462919
-0.3	0.0330353	0.447904
-0.25	0.0365641	0.438502
-0.2	0.039902	0.431935
-0.15	0.0434389	0.422888
-0.0999998	0.04705	0.410931
-0.0499998	0.0506264	0.427075
1.55717e-07	0.053637	-nan
